[2023-12-24T19:53:35.540Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:53:35.605Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:53:35.646Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:53:35.650Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:53:35.684Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:53:35.680Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:53:35.705Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:53:35.707Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:54:35.869Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:54:35.937Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:54:35.994Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:54:35.987Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:54:36.019Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:54:36.021Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:54:36.046Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:54:36.047Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:56:17.214Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:56:17.283Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:56:17.318Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:56:17.320Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:56:17.347Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:56:17.348Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:56:17.365Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:56:17.366Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:57:00.472Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:57:00.556Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:57:00.594Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:57:00.596Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:57:00.622Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:57:00.624Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:57:00.644Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:57:00.647Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:58:22.688Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:58:22.756Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:58:22.792Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:58:22.794Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:58:22.823Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:58:22.825Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:58:22.843Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:58:22.844Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:59:56.882Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:59:57.142Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:59:57.243Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:59:57.250Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:59:57.270Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:59:57.272Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:59:57.295Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:59:57.297Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T20:00:58.010Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:00:58.043Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T20:00:58.141Z] [INFO] Method: GET | URL: /api/products | Request Body: 
